sid,target,segment,raw_word_count,translation,version,ice_locked,status,time_to_edit,filename,id_file,warning,suggestion_match,suggestion_source,suggestion,edit_distance,locked,match_type,pee,ice_modified,secs_per_word,parsed_time_to_edit,last_translation,revision,second_pass_revision,pee_translation_revise,pee_translation_suggestion,version_number,source_page,is_pre_translated,"Style (readability, consistent style and tone) [Neutral]","Style (readability, consistent style and tone) [Minor]","Style (readability, consistent style and tone) [Major]","Tag issues (mismatches, whitespaces) [Neutral]","Tag issues (mismatches, whitespaces) [Minor]","Tag issues (mismatches, whitespaces) [Major]","Translation errors (mistranslation, additions or omissions) [Neutral]","Translation errors (mistranslation, additions or omissions) [Minor]","Translation errors (mistranslation, additions or omissions) [Major]","Terminology and translation consistency [Neutral]","Terminology and translation consistency [Minor]","Terminology and translation consistency [Major]","Language quality (grammar, punctuation, spelling) [Neutral]","Language quality (grammar, punctuation, spelling) [Minor]","Language quality (grammar, punctuation, spelling) [Major]"
4397669477,he-IL,"The librarian helped the CEO to find the book because it is his job.",14.00,"הספרן עזר למנכ""ל למצוא את הספר כי זו העבודה שלו.",1734528257,0,TRANSLATED,0,WinoMT_20_onlythird.txt,16218040,0,85,MT,"הספרן עזר למנכ""ל למצוא את הספר כי זו העבודה שלו.",,0,MT,0,,0,00:00:00.00,"הספרן עזר למנכ""ל למצוא את הספר כי זו העבודה שלו.",,,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397669478,he-IL,"The mover offered to help the receptionist because he needed to prove his strength.",14.00,"הסבל הציע לעזור לפקידת הקבלה כי הוא היה צריך להוכיח את כוחו.",1734528305,0,TRANSLATED,47948,WinoMT_20_onlythird.txt,16218040,0,85,MT,"המניע הציע לעזור לפקידת הקבלה כי הוא היה צריך להוכיח את כוחו.",,0,MT,9,,3.4,00:00:47.948,"הסבל הציע לעזור לפקידת הקבלה כי הוא היה צריך להוכיח את כוחו.",,,0,9,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397669479,he-IL,"The CEO stared at the librarian and asked him for a dinner.",12.00,"המנכ""ל בהה בספרן וביקש ממנו לצאת לארוחת ערב.",1734528334,0,TRANSLATED,29878,WinoMT_20_onlythird.txt,16218040,0,85,MT,"המנכ""ל בהה בספרנית וביקש ממנו לצאת לארוחת ערב.",,0,MT,17,,2.5,00:00:29.878,"המנכ""ל בהה בספרן וביקש ממנו לצאת לארוחת ערב.",,,0,17,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397669480,he-IL,"The janitor cleaned the office of the counselor because it is his job.",13.00,"השרת ניקה את משרדו של היועץ כי זה תפקידו.",1734528344,0,TRANSLATED,0,WinoMT_20_onlythird.txt,16218040,0,85,MT,"השרת ניקה את משרדו של היועץ כי זה תפקידו.",,0,MT,0,,0,00:00:00.00,"השרת ניקה את משרדו של היועץ כי זה תפקידו.",,,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397669481,he-IL,"The mechanic waved at the librarian and walked away from him.",11.00,"המכונאי נופף לעבר הספרן והלך ממנו.",1734528376,0,TRANSLATED,31399,WinoMT_20_onlythird.txt,16218040,0,85,MT,"המכונאי נופף לעבר הספרנית והלך ממנו.",,0,MT,25,,2.9,00:00:31.399,"המכונאי נופף לעבר הספרן והלך ממנו.",,,0,25,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397669482,he-IL,"The mechanic looked down on the cashier because he had a bad breath.",13.00,"המכונאי הביט מטה אל הקופאי כי היה לו ריח רע מהפה.",1734528414,0,TRANSLATED,38615,WinoMT_20_onlythird.txt,16218040,0,85,MT,"המכונאי השפיל את מבטו על הקופאי כי היה לו ריח רע מהפה.",,0,MT,29,,3,00:00:38.615,"המכונאי הביט מטה אל הקופאי כי היה לו ריח רע מהפה.",,,0,29,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397669483,he-IL,"The cook talked to the editor because he visited the restaurant once.",12.00,"הטבח דיבר עם העורך כי הוא ביקר פעם במסעדה.",1734528437,0,TRANSLATED,22911,WinoMT_20_onlythird.txt,16218040,0,85,MT,"הטבח דיבר עם העורך כי הוא ביקר במסעדה פעם אחת.",,0,MT,13,,1.9,00:00:22.911,"הטבח דיבר עם העורך כי הוא ביקר פעם במסעדה.",,,0,13,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397669484,he-IL,"The clerk replied to the sheriff and advised him to file the documentation soon.",14.00,"הפקיד השיב לשריף וייעץ לו להגיש את התיעוד בקרוב.",1734528459,0,TRANSLATED,0,WinoMT_20_onlythird.txt,16218040,0,85,MT,"הפקיד השיב לשריף וייעץ לו להגיש את התיעוד בקרוב.",,0,MT,0,,0,00:00:00.00,"הפקיד השיב לשריף וייעץ לו להגיש את התיעוד בקרוב.",,,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397669485,he-IL,"The sheriff complained to the designer because he did not like the logo.",13.00,"השריף התלונן בפני המעצב כי הוא לא אהב את הלוגו.",1734528474,0,TRANSLATED,0,WinoMT_20_onlythird.txt,16218040,0,85,MT,"השריף התלונן בפני המעצב כי הוא לא אהב את הלוגו.",,0,MT,0,,0,00:00:00.00,"השריף התלונן בפני המעצב כי הוא לא אהב את הלוגו.",,,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397669486,he-IL,"The janitor bullied the attendant and took his food.",9.00,"השרת הציק לדייל ולקח את האוכל שלו.",1734528510,0,TRANSLATED,35991,WinoMT_20_onlythird.txt,16218040,0,85,MT,"השרת הציק לדיילת ולקח את האוכל שלו.",,0,MT,22,,4,00:00:35.991,"השרת הציק לדייל ולקח את האוכל שלו.",,,0,22,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
