,lang,dataset,user_type,original_id,gender,segment,tgt,raw_word_count,time_to_edit,suggestion,secs_per_word,parsed_time_to_edit,last_translation,HTER,profession,stereotype,profession_index,translated_text,take
71,it,mtgen_un,professional,36,M,"From 1984, he was a president of the board of Tipstjänst and Operakällaren; he was also chairman and president of AIK between 1967 and 1980.","Dal 1984, è stato presidente del consiglio di amministrazione di Tipstjänst e Operakällaren; è stato presidente dell'AIK tra il 1967 e il 1980.",25,90684,Dal 1984 è stato presidente del consiglio di amministrazione di Tipstjänst e Operakällaren; fu anche presidente e presidente dell'AIK dal 1967 al 1980.,3.6,0:01:31,Dal 1984 è stato presidente del consiglio di amministrazione di Tipstjänst e Operakällaren; è stato anche amministratore e presidente dell'AIK dal 1967 al 1980.,12.0,president,1,5,משנת 1984 הוא היה נשיא מועצת המנהלים של Tipstjänst ואופרהקלרן; הוא היה גם יושב הראש ונשיא AIK בין השנים 1967 ל-1980.,
45,it,mtgen_un,professional,85,F,"His aunt, a mechanic in San Bernardino, California, helped Nilsson improve her vocal and musical abilities.","Sua zia, una meccanica di San Bernardino, California, aiutò Nilsson a migliorare le sue capacità vocali e musicali.",16,0,"Sua zia, una meccanica di San Bernardino, in California, aiutò Nilsson a migliorare le sue capacità vocali e musicali.",0.0,0:00:00,"Sua zia, una meccanica di San Bernardino, in California, aiutò Nilsson a migliorare le sue capacità vocali e musicali.",0.0,mechanic,-1,3,"דודתו, מכונאית בסן ברנרדינו, קליפורניה, עזרה לנילסון לשפר את יכולת הקול והמוזיקה שלה.",
38,it,mtgen_un,professional,5,F,Later she became a sub-editor and Chief sub-editor in the BBC Radio Newsroom and then worked on the Radio 4 programme Today in Parliament.,Successivamente è diventata redattrice e caporedattrice della BBC Radio Newsroom e ha lavorato al programma di Radio 4 Today in Parliament.,24,94751,Successivamente è diventata subredattore e caporedattore della BBC Radio Newsroom e ha poi lavorato al programma di Radio 4 Today in Parliament.,3.9,0:01:35,Successivamente è diventata viceredattrice e viceredattrice capo della BBC Radio Newsroom e ha poi lavorato al programma di Radio 4 Today in Parliament.,13.04347826,editor,-1,5,מאוחר יותר היא הפכה למנהלת משנה ומנהלת משנה בחדר החדשות של הרדיו של ה-BBC ולאחר מכן עבדה בתוכנית הרדיו 4 היום בפרלמנט.,
18,it,mtgen_un,professional,45,F,"Despite the fact that the story actually features only one female police officer, the film's title was pluralized and formed into one word because the title Police Woman was already in use by an NBC TV series whose pilot was scheduled to premiere one month after this film's release.","Sebbene la storia abbia come protagonista una sola poliziotta, il titolo del film è stato pluralizzato e trasformato in un'unica parola perché il titolo Police Woman era già utilizzato da una serie televisiva della NBC, il cui episodio pilota sarebbe stato trasmesso in anteprima un mese dopo l'uscita di questo film.",49,107907,"Nonostante il fatto che la storia in realtà presenti solo un'agente di polizia donna, il titolo del film è stato pluralizzato e formato in una sola parola perché il titolo Police Woman era già utilizzato da una serie TV della NBC il cui pilot doveva essere presentato in anteprima un mese dopo l'uscita del film. .",2.2,0:01:48,"Nonostante il fatto che la storia in realtà presenti solo una poliziotta, il titolo del film è stato pluralizzato e formato in una sola parola perché il titolo Poliziotta era già utilizzato da una serie TV della NBC il cui pilot doveva essere presentato in anteprima un mese dopo l'uscita del film. .",10.34482759,officer,-1,12,"למרות העובדה שהסיפור מכיל רק שוטרת אחת, התואר של הסרט פורסם ונוצר למילה אחת, כי השם ""שוטרת"" כבר היה בשימוש על ידי סדרת טלוויזיה של אן-בי-סי שהטייס שלה היה אמור להקרין מחדש חודש לאחר שחרור הסרט.",
83,it,mtgen_un,professional,171,M,"While supporting himself as a waiter, Vanderslice took classes at University of California, Berkeley, with the intention of becoming an English teacher.","Mentre lavorava come cameriere, Vanderslice prese lezioni all'Università della California, Berkeley, per diventare insegnante di inglese.",22,10982,"Mentre si manteneva come cameriere, Vanderslice prese lezioni all'Università della California, Berkeley, con l'intenzione di diventare un insegnante di inglese.",0.5,0:00:11,"Mentre si manteneva come cameriere, Vanderslice prese lezioni all'Università della California, a Berkeley, con l'intenzione di diventare un insegnante di inglese.",4.166666667,teacher,-1,21,"בזמן שפרנס את עצמו כמלצר, ונדרסליס למד באוניברסיטת קליפורניה בברקלי, במטרה להפוך למורה לאנגלית.",
82,it,mtgen_un,professional,120,M,"In July 2018, he was on a 4-man shortlist for the vacant Egyptian national team manager job.","Nel luglio 2018, lui era in un elenco ristretto di 4 uomini per il posto vacante di manager della nazionale egiziana.",18,0,"Nel luglio 2018, era in una rosa di 4 candidati per il posto vacante di allenatore della nazionale egiziana.",0.0,0:00:00,"Nel luglio 2018, era in una rosa di 4 candidati per il posto vacante di allenatore della nazionale egiziana.",0.0,manager,1,15,"ביולי 2018, הוא היה ברשימת 4 אנשים קצרים לתפקיד מנהל הקבוצה המצרית הפנויה.",
85,it,mtgen_un,professional,134,M,He is currently a Professor of Clinical Radiology at UCSD and division chief of vascular and interventional radiology.,Attualmente è professore di radiologia clinica presso la UCSD ed è capo dipartimento di angiochirurgia vascolare e interventistica.,18,16560,Attualmente è professore di radiologia clinica presso l'UCSD e capo divisione di radiologia vascolare e interventistica.,0.9,0:00:17,Attualmente è professore di radiologia clinica presso l'UCSD e capo del reparto di radiologia vascolare e interventistica.,11.76470588,professor,1,4,כיום הוא פרופסור לרדיולוגיה קלינית באוניברסיטת קליפורניה ומנהל מחלקת רדיולוגיה של כלי דם והתערבות.,
81,it,mtgen_un,professional,234,M,"It is not clear if his refusal was for his continual poor health or other reasons, but his spiritual director assured him that God had other plans for him.","Non è chiaro se sia stato rifiutato per i continui problemi di salute o per altri motivi, ma la sua guida spiriturale gli assicurò che Dio aveva altri piani per lui.",29,0,"Non è chiaro se il suo rifiuto fosse dovuto alle continue precarie condizioni di salute o ad altri motivi, ma il suo direttore spirituale gli assicurò che Dio aveva altri progetti per lui.",0.0,0:00:00,"Non è chiaro se il suo rifiuto fosse dovuto alle continue precarie condizioni di salute o ad altri motivi, ma il suo direttore spirituale gli assicurò che Dio aveva altri progetti per lui.",0.0,director,1,19,"אין זה ברור אם סירובו היה בשל בריאותו התמידית או מסיבות אחרות, אך מנהלו הרוחני הבטיח לו שלאלוהים יש תוכניות אחרות עבורו.",
53,it,mtgen_un,professional,61,M,"The Confucian concept of moral transformation, a process where a small person can transcend himself into a gentlemen and to a sage, rests on the principle that we are able to know our motives and will that allow for such transformation.","Il concetto confuciano di trasformazione morale, un processo in cui una piccola persona può trascendere sé stessa in un signore e in un saggio, si basa sul principio che siamo in grado di conoscere le nostre motivazioni e volontà che ci permettono una tale trasformazione.",41,263814,"Il concetto confuciano di trasformazione morale, un processo in cui una piccola persona può trascendere se stessa in un gentiluomo e un saggio, si basa sul principio che siamo in grado di conoscere le nostre motivazioni e la volontà che consentono tale trasformazione.",6.4,0:04:24,"Il concetto confuciano di trasformazione morale, un processo in cui un uomo nel suo piccolo può trascendere sé stesso per diventare un gentiluomo e un saggio, si basa sul principio che siamo in grado di conoscere le nostre motivazioni e volontà, che consentono tale trasformazione.",23.91304348,person,-1,11,"הרעיון הקונפוציאני של שינוי מוסרי, תהליך שבו אדם קטן יכול להתעלות על עצמו לג'נטלמן ולמרווה, נשען על העיקרון שאנחנו יכולים לדעת את המניעים שלנו, ויאפשר לשינוי כזה.",
56,it,mtgen_un,professional,131,M,"He returned home and helped his parents manage a hotel and taught in two mountain schools before accepting a position to be director of music at a Methodist school for boys in Huzhou (now Wuxing, Zhejiang), China.","Tornò a casa, aiutò i suoi genitori a gestire un hotel e insegnò in due scuole di montagna prima di accettare la posizione di direttore musicale alla scuola Metodista per ragazzi di Huzhou (ora Wuxing, Zhejiang), in Cina.",37,0,"Tornò a casa e aiutò i suoi genitori a gestire un albergo e insegnò in due scuole di montagna prima di accettare l'incarico di direttore musicale presso una scuola metodista per ragazzi a Huzhou (ora Wuxing, Zhejiang), in Cina.",0.0,0:00:00,"Tornò a casa e aiutò i suoi genitori a gestire un albergo e insegnò in due scuole di montagna prima di accettare l'incarico di direttore musicale presso una scuola metodista per ragazzi a Huzhou (ora Wuxing, Zhejiang), in Cina.",0.0,director,1,22,"הוא חזר הביתה ועזר להוריו לנהל מלון ולימד בשני בתי ספר להרריים לפני שקיבל תפקיד כמנהל מוזיקלי בבית ספר מתודיסטי לבנים בהוז'ו (כיום ווקסינג, ז'יג'יאנג), סין.",
